Percentage
+0.95%
-1.76%
+0.14%
+5.81%
+6.00%
+2.09%
+1.73%
+2.22%
-0.26%
+0.28%
+0.60%
+0.13%
-0.64%
-0.13%
+1.35%
-0.23%
+3.16%
-3.31%
+0.74%
+1.29%
-0.46%
+1.07%
-3.15%
+5.19%
-2.41%
-0.53%
-0.43%
-0.80%
+1.28%
+4.09%
+0.33%
+1.11%
-0.58%
+0.01%
+0.80%
-1.77%
-1.17%
+2.23%
+0.64%
-0.20%
+1.10%
+0.73%
-0.35%
-0.74%
+1.94%
+3.21%
+9.48%
-0.11%
+0.37%
+3.21%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.98%
+0.95%
+0.95%
+0.95%
+0.98%
+0.98%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.95%
+0.93%
+0.93%
+0.93%
+0.92%
+0.92%
+0.93%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.90%
+0.90%
+0.92%
+0.92%
+0.92%
+0.92%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.90%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.90%
+0.90%
+0.90%
+0.90%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.90%
+0.90%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
+0.92%
